SEQID,AGEG5LFS,GENDER_R,U01b000A,AS_Numeric_Encoding,U01b000S,U01b000T,PVLIT1,PVNUM1
102,55-59,Female,39,"1,6,10,7,8,7,11,8,7,11,8,14,1,13,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,9",1,171234,293.92692,286.96242
103,45-49,Male,40,"1,6,10,7,11,8,14,1,13,1,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,9",1,102300,317.23445,325.26845
107,35-39,Male,42,"12,1,3,1,6,10,7,11,8,14,1,13,2,4,1,5,3,2,4,1,5,3,1,6,10,7,11,8,13,2,4,2,1,5,3,2,4,1,5,3,15,9",0,148110,320.70262,305.83668
108,50-54,Female,58,"12,1,12,7,8,1,12,19,1,20,1,2,12,14,12,4,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,1,2,9",0,261408,341.45539,305.82243
110,20-24,Female,54,"2,1,2,12,1,3,2,12,1,3,2,12,1,3,2,12,1,3,2,12,1,3,1,12,6,10,7,11,8,14,1,13,1,2,12,1,3,2,12,1,3,2,12,1,3,2,9",1,167812,299.79797,287.07437
114,16-19,Male,40,"1,12,1,6,10,1,7,11,8,13,1,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,6,10,1,7,11,8,14,9",0,117322,277.92718,238.4366
118,25-29,Female,78,"12,1,3,6,1,2,4,1,5,3,1,6,10,1,7,11,8,1,13,1,4,1,5,3,1,2,1,6,1,2,4,2,1,5,3,2,4,1,5,3,6,10,1,7,11,8,13,1,2,4,2,1,5,3,4,1,5,3,1,2,9",1,217946,326.39087,314.33295
122,30-34,Male,0,9,0,11664,263.74792,249.13705
123,35-39,Male,59,"1,2,1,2,12,6,10,7,11,8,14,1,13,2,4,1,5,3,2,6,10,7,11,8,23,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,1,9",0,258841,341.59967,373.40382
124,50-54,Female,6,"4,2,1,15,16,9",0,58494,213.28343,201.23387
126,50-54,Female,14,"12,1,15,1,16,3,2,4,1,5,3,9",0,91798,259.97848,241.23072
129,50-54,Female,0,"9,22,9",0,53213,260.92693,270.2327
134,25-29,Female,58,"1,2,1,15,16,1,6,10,1,7,11,8,13,1,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,1,2,4,2,1,5,3,2,4,1,5,3,1,9",1,198391,408.41208,407.08895
145,35-39,Female,28,"6,10,1,7,11,8,13,1,4,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,9",1,152729,348.03563,311.40075
147,35-39,Female,54,"12,1,3,1,2,6,10,7,11,8,1,13,1,6,10,7,11,8,1,13,1,6,10,14,1,21,1,2,1,2,4,1,5,3,2,4,1,5,3,1,2,9",0,185998,265.21353,260.83296
148,40-44,Female,7,"1,9",0,35654,254.03797,260.43205
159,16-19,Female,40,"2,1,6,10,7,11,8,14,1,13,6,10,7,11,8,1,13,2,4,2,1,5,3,2,4,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,9",1,144408,212.74596,184.26992
160,20-24,Male,39,"6,10,7,11,8,14,7,8,15,16,1,15,16,7,8,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,9",1,172454,312.97095,312.45518
161,20-24,Female,68,"6,10,7,8,1,7,11,8,13,1,2,4,2,1,6,10,7,11,8,13,6,10,1,21,12,6,10,7,11,8,13,4,2,4,1,5,3,2,4,2,1,5,3,2,4,2,1,4,1,5,3,2,4,1,5,3,2,4,1,5,3,1,9",0,208337,301.21158,287.46914
165,50-54,Female,3,"12,1,3,9",0,59766,241.09708,193.93414
169,25-29,Male,90,"6,10,1,7,11,8,13,1,15,16,1,15,16,1,2,6,24,2,1,2,12,1,3,2,12,1,3,2,12,1,3,2,12,1,3,2,12,1,3,1,2,4,2,1,4,1,5,3,1,2,1,2,9",0,328242,274.18578,253.16882
172,50-54,Male,13,"1,12,1,15,1,18,20,16,1,12,9",0,179485,281.30831,267.32107
173,16-19,Male,43,"1,15,6,10,1,16,7,11,8,1,13,1,2,4,1,5,3,1,2,4,1,5,3,1,2,4,1,5,3,1,2,1,2,1,9",1,144425,290.11699,282.91257
