SEQID,AGEG5LFS,GENDER_R,U01b000A,AS_Numeric_Encoding,U01b000S,U01b000T,PVLIT1,PVNUM1
542,30-34,Male,64,"2,1,2,6,10,1,2,1,6,10,7,8,2,6,10,7,11,8,7,8,14,1,13,6,10,7,11,8,1,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,9",1,221922,272.74224,244.62251
545,25-29,Female,63,"1,2,1,12,1,15,16,1,15,16,6,10,7,11,8,1,13,6,10,1,7,11,8,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,1,6,10,1,21,1,2,1,6,10,1,21,1,2,1,2,9",1,346289,248.92053,258.09357
549,50-54,Male,41,"2,6,10,7,11,8,14,1,13,2,4,2,1,5,3,2,6,10,14,1,14,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,9",1,205030,312.66774,323.08431
551,40-44,Male,40,"2,12,1,14,6,10,7,11,8,7,8,14,1,13,2,12,1,3,2,12,1,3,2,12,1,3,9",1,260997,279.81007,270.34137
559,60-65,Female,50,"1,17,1,17,1,2,18,20,6,2,1,17,1,17,1,2,20,18,9",0,279628,185.04694,126.83619
565,40-44,Female,15,"1,15,16,6,10,15,16,7,11,8,14,15,16,1,13,9",0,116433,315.42664,307.82263
566,50-54,Male,0,9,0,15517,185.8702,163.59797
568,40-44,Male,20,"2,12,2,4,2,4,2,1,5,3,2,9",0,150475,220.97732,196.47314
569,55-59,Female,12,"1,15,16,2,12,1,3,2,12,1,3,18,9",0,80495,214.54356,218.80293
570,25-29,Female,30,"2,4,2,1,5,3,2,4,1,5,3,4,1,5,3,2,4,1,5,3,2,4,1,5,3,9",0,104027,237.90435,215.53686
575,25-29,Female,29,"6,10,7,11,8,14,1,13,2,4,1,5,3,2,4,2,1,4,2,1,5,3,2,4,1,5,3,2,9",1,92364,199.76148,236.1189
594,55-59,Male,9,"4,1,5,3,4,1,5,3,4,1,5,3,9",0,61407,259.49492,251.72824
605,20-24,Female,36,"15,16,6,10,1,14,1,7,11,8,13,2,4,2,1,5,3,2,12,1,3,2,12,1,3,1,9",1,177056,332.35263,322.75135
609,30-34,Female,44,"1,6,1,6,1,6,10,7,11,8,14,1,13,2,4,1,5,3,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,9",1,188734,329.08774,324.95714
610,40-44,Female,34,"15,16,1,15,16,6,10,7,11,8,1,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,9",1,143961,327.57701,354.75211
611,40-44,Male,29,"2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,1,9",0,91564,291.41518,267.51335
618,20-24,Female,23,"2,4,1,5,3,2,4,1,5,3,15,1,16,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,9",0,102526,294.38931,236.9138
632,50-54,Male,49,"1,6,10,1,14,7,11,8,13,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,1,2,1,9",1,168601,315.17147,341.64738
633,55-59,Female,39,"4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,4,1,2,4,1,5,3,1,12,6,12,14,2,9",0,242398,305.11566,274.97274
634,45-49,Female,55,"6,1,12,1,6,26,14,1,12,1,12,19,12,9,22,20,1,4,2,1,5,3,4,1,5,3,2,4,2,1,5,3,2,12,14,12,19,2,1,12,2,12,9",0,315588,255.04669,181.91026
636,60-65,Female,0,9,0,29394,289.67937,271.14772
637,20-24,Female,30,"6,10,7,11,8,14,1,13,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,9",1,99837,238.8493,251.06949
642,16-19,Female,47,"1,12,6,12,19,7,8,7,8,7,8,6,7,8,7,8,20,7,8,18,7,8,18,7,8,18,7,8,18,7,8,18,7,8,18,7,8,6,7,8,26,7,8,31,6,9",0,78262,289.81386,272.58812
645,20-24,Female,41,"12,14,12,6,10,7,11,8,14,1,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,6,10,7,11,8,13,4,1,5,3,4,1,5,3,9",1,131642,284.78556,238.25807
649,25-29,Male,58,"4,1,5,3,2,4,2,1,5,3,2,4,2,1,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,1,6,10,7,11,8,1,13,1,2,17,2,17,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,1,9",1,189631,276.78706,300.32916
650,35-39,Male,23,"2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,9",0,73186,278.03142,298.22887
656,25-29,Male,20,"4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,9",0,67258,283.73717,275.85434
659,25-29,Male,25,"2,15,16,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,9",0,99446,231.30701,203.23552
661,55-59,Female,29,"6,10,7,11,8,14,1,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,9",1,125341,287.9233,237.24226
663,16-19,Female,48,"6,10,14,6,10,7,8,7,11,8,14,7,8,1,7,8,1,13,2,4,2,1,5,3,2,4,2,1,2,4,1,5,3,2,4,2,1,5,3,2,9",1,141303,283.91786,259.78099
667,40-44,Male,11,"4,1,5,3,1,4,2,1,5,3,1,9",0,108985,284.65476,292.69685
668,25-29,Male,48,"1,6,10,7,11,8,14,1,13,6,10,7,11,8,1,13,2,4,2,1,5,3,1,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,1,9",1,166102,309.75258,260.62694
669,30-34,Female,11,"6,10,1,7,11,8,13,2,9",0,99775,269.15148,242.29241
672,35-39,Female,22,"4,1,5,3,1,4,1,5,3,1,4,1,5,3,1,4,1,5,3,1,4,1,5,3,1,9",0,61314,278.65575,250.90016
674,30-34,Male,0,9,0,4219,240.29301,220.5968
677,30-34,Female,98,"6,10,6,12,19,1,15,16,6,26,6,10,1,17,1,17,1,17,7,11,8,1,13,2,4,2,1,5,3,2,4,2,1,5,3,2,12,1,3,6,10,1,7,8,1,6,1,7,11,8,6,7,8,1,14,1,14,1,15,1,16,15,16,1,15,1,6,1,15,1,16,1,2,16,1,9",0,1066548,250.24439,238.85205
681,30-34,Female,0,9,0,25238,226.19274,180.68429
685,25-29,Female,23,"12,19,2,1,18,1,18,12,18,9",0,144735,306.00437,270.40308
693,45-49,Female,18,"2,4,2,4,1,5,3,2,4,1,5,3,2,1,9",0,96452,252.48243,240.59495
694,45-49,Male,0,9,0,43911,205.01386,137.90713
697,20-24,Male,46,"6,1,2,1,6,10,7,11,8,14,1,13,2,4,1,5,3,2,4,2,1,2,4,2,1,5,3,2,4,2,1,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,9",1,133297,344.18064,324.60134
699,55-59,Male,0,9,0,11355,246.00143,255.21151
702,55-59,Female,1,"1,9",0,36506,222.19521,215.67689
704,20-24,Male,21,"2,4,1,5,3,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,9",0,59085,262.55256,253.61621
709,16-19,Female,22,"4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,9",0,35980,254.42355,228.5754
712,60-65,Male,52,"1,2,1,2,12,20,2,4,1,5,3,2,12,19,6,10,7,11,8,14,1,15,16,1,13,2,4,1,5,3,2,4,1,5,3,2,9",0,271495,277.66495,255.19919
722,35-39,Male,36,"1,6,10,7,11,8,14,1,13,1,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,9",1,125144,318.87398,327.14627
731,25-29,Male,24,"2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,4,1,5,3,9",0,147670,229.41064,243.2728
732,60-65,Male,7,"1,9",0,71949,254.00889,233.75567
743,60-65,Female,0,9,0,25046,251.81097,225.84143
747,40-44,Female,47,"2,17,6,10,7,11,8,17,7,11,8,14,7,8,14,1,13,4,2,1,5,3,4,2,1,5,3,4,2,1,5,3,4,1,5,3,1,2,4,1,5,3,1,9",1,152847,250.43605,226.56042
753,60-65,Female,1,"1,9",0,14149,230.74412,169.20622
756,55-59,Male,36,"2,4,2,1,5,3,2,4,2,1,5,3,4,2,4,2,4,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,9",0,233267,259.30848,223.78209
762,25-29,Female,54,"12,14,12,1,2,6,10,7,11,8,12,7,11,8,14,1,13,2,6,10,7,11,8,1,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,9",1,168432,326.05071,275.93694
764,16-19,Male,32,"1,2,17,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,9,7,8",0,94416,280.53948,261.9263
769,45-49,Male,38,"6,10,7,11,8,1,13,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,1,9",1,206416,315.49014,273.48829
771,45-49,Male,11,"2,1,9",0,84297,263.08832,232.83512
775,25-29,Male,9,"12,14,2,12,1,3,2,9",0,97648,169.83983,189.71881
777,16-19,Female,25,"1,2,12,1,3,2,12,1,3,2,12,1,3,2,12,1,3,2,12,1,3,9",0,124327,219.32227,180.1982
778,30-34,Female,48,"1,6,10,1,7,11,8,13,1,2,4,2,1,5,3,2,6,10,7,11,8,1,13,2,4,2,1,5,3,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,9",1,132000,286.66561,274.37784
780,25-29,Female,27,"6,12,1,14,1,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,9",0,135454,270.21046,281.72935
782,50-54,Male,48,"2,6,24,4,2,4,2,1,6,27,2,12,25,12,6,10,7,11,8,14,1,6,10,1,13,4,2,4,1,5,3,1,12,9",0,290154,294.30922,288.72275
788,25-29,Male,13,"1,15,16,1,2,12,3,12,9",0,104304,289.69044,300.03319
789,35-39,Male,0,9,0,8590,274.58469,279.93373
790,55-59,Male,70,"12,14,6,10,7,8,1,7,8,7,11,8,7,11,8,7,8,13,2,4,1,5,3,2,4,1,5,3,1,2,4,1,5,3,2,4,1,5,3,1,2,12,1,3,9,22,4,1,5,3,1,15,16,1,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,1,9",1,222140,228.55809,280.35794
793,60-65,Female,40,"1,2,6,10,15,1,7,11,8,13,16,2,12,1,3,2,12,1,3,2,12,1,3,9",1,386343,319.28427,299.99845
802,45-49,Female,32,"4,1,5,3,1,4,2,1,5,3,1,9",0,170967,226.21043,160.45347
812,45-49,Male,55,"1,15,16,1,2,6,10,1,14,7,11,8,1,14,6,10,1,13,6,10,1,14,7,11,8,13,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,2,1,5,3,2,4,1,4,1,5,3,9",0,255800,355.8882,349.78992
821,16-19,Male,35,"1,6,10,1,7,11,8,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,9",1,123954,272.1805,251.24285
827,35-39,Male,10,"2,1,4,1,5,3,4,1,5,3,9",0,54488,263.84865,232.86311
828,50-54,Male,36,"2,1,6,1,6,10,7,11,8,14,1,13,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,9",1,168093,354.77901,369.53805
842,60-65,Female,82,"12,2,1,4,1,5,3,1,12,7,8,6,7,8,6,7,8,6,7,8,6,7,8,7,8,1,4,1,5,3,1,4,1,5,3,1,4,1,5,3,1,4,1,5,3,1,4,1,5,3,1,4,1,5,3,1,4,2,1,5,3,1,2,4,1,5,3,1,2,1,9",0,262103,269.38488,258.14286
843,40-44,Female,28,"6,10,7,11,8,1,13,2,4,1,5,3,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,9",1,112647,284.19935,273.80763
844,30-34,Female,22,"4,2,1,5,3,2,4,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,9",0,66211,268.76156,210.69383
845,50-54,Female,14,"1,6,10,7,11,8,14,1,13,9",0,83021,290.75918,243.84718
855,16-19,Female,19,"2,4,1,5,3,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,9",0,40733,217.38214,179.6506
856,45-49,Male,3,"1,9",0,53391,269.4839,286.44544
857,55-59,Male,34,"6,10,7,11,8,14,1,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,1,9",1,159732,325.3513,332.52516
858,40-44,Female,35,"1,6,10,7,11,8,14,1,13,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,4,1,5,3,4,1,5,3,1,2,9",1,98959,336.95268,375.80318
861,30-34,Male,62,"2,6,10,7,11,8,1,13,6,10,14,1,6,10,1,21,1,6,10,1,13,1,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,9",0,169101,267.07048,276.27449
865,20-24,Male,3,"2,9",0,108372,248.67785,251.8079
867,50-54,Female,36,"12,6,10,7,11,8,14,1,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,4,1,5,3,9",1,206429,275.99713,222.04569
868,30-34,Male,42,"2,1,6,10,7,11,8,14,1,13,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,1,2,1,2,9",1,218257,319.55325,366.26859
876,25-29,Female,52,"1,6,10,7,11,8,14,1,13,6,10,7,11,8,1,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,1,9",1,217885,254.17271,250.93716
878,20-24,Male,72,"1,15,16,1,12,1,4,12,1,3,12,2,1,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,6,10,7,11,8,1,13,1,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,1,9",1,147557,295.58549,267.39847
885,60-65,Female,48,"12,1,6,10,7,11,8,14,1,13,2,4,2,1,5,3,2,4,1,5,3,1,2,4,1,5,3,1,4,1,5,3,1,4,1,5,3,1,4,1,5,3,1,4,1,5,3,1,9",0,183484,260.94307,257.97041
886,60-65,Male,11,"12,1,2,1,3,1,6,27,2,9",0,124526,272.08666,257.9896
890,50-54,Female,20,"6,10,7,11,8,14,15,1,13,1,20,12,14,6,10,6,26,31,9",0,129358,218.22784,208.06074
892,20-24,Male,45,"12,6,10,7,11,8,14,1,13,2,4,2,1,5,3,1,2,1,2,4,2,1,5,3,1,2,4,2,1,5,3,1,2,4,1,5,3,1,9",1,121195,265.71833,209.24985
900,45-49,Female,3,"15,16,2,20,9",0,114851,277.69586,237.91384
906,40-44,Female,46,"1,15,16,1,15,1,16,2,6,10,1,7,11,8,7,8,13,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,9",1,158514,312.32925,290.43472
909,35-39,Male,43,"6,10,7,11,8,1,13,1,6,10,1,21,6,1,6,10,1,7,11,8,13,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,9",0,217632,300.18136,288.4211
912,40-44,Female,8,"15,16,15,16,2,4,1,5,3,9",0,60865,250.718,221.16944
915,16-19,Male,26,"6,10,1,7,11,8,13,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,2,1,5,3,9",1,107939,267.84475,243.76872
916,25-29,Female,37,"2,12,6,10,7,11,8,14,1,13,2,4,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,1,2,9",1,146396,320.12961,321.05032
918,60-65,Female,6,"12,1,3,9",0,96132,292.74488,240.74777
924,45-49,Male,7,"1,12,18,9",0,49029,242.43898,223.90047
927,30-34,Female,7,"12,6,10,14,2,9",0,257810,267.9941,249.4609
943,30-34,Female,13,"6,10,7,11,8,7,8,14,1,7,8,13,9",0,76228,259.26293,252.59289
945,55-59,Female,12,"4,2,4,2,9",0,95148,236.7935,231.89331
950,60-65,Male,45,"6,10,7,11,8,14,7,8,14,1,13,6,10,7,11,8,13,1,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,9",1,399795,304.86541,295.8968
953,40-44,Female,32,"6,10,17,7,11,8,14,1,13,2,4,1,5,3,1,2,4,1,5,3,1,2,4,1,5,3,1,4,1,4,1,5,3,1,9",0,108983,301.67546,270.6446
957,45-49,Female,58,"6,10,7,11,8,14,1,6,10,6,10,14,15,16,6,24,14,6,10,14,20,1,13,3,9,22,9,22,2,6,10,1,2,4,2,6,10,1,14,34,23,2,6,10,1,14,34,23,2,6,10,1,14,34,23,1,2,6,32,9",0,481480,253.07541,212.42393
961,45-49,Male,52,"6,10,1,14,7,11,8,13,2,4,1,5,3,2,4,2,1,4,1,5,3,2,4,2,1,4,2,1,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,1,2,1,2,1,9",1,250462,361.55005,383.01162
962,16-19,Female,2,"2,12,9",0,24571,303.13336,262.39974
969,16-19,Female,31,"6,10,1,7,11,8,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,9",1,92025,284.58744,281.31329
974,50-54,Female,3,"2,1,12,9",0,73226,228.04826,205.36489
977,16-19,Male,34,"2,1,12,1,2,12,1,3,2,12,1,3,2,12,1,3,2,12,1,3,2,12,1,3,9",0,265727,249.82966,206.91033
978,60-65,Female,56,"1,6,10,7,11,8,14,1,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,1,2,1,2,4,1,5,3,1,9",1,219018,286.70507,292.69231
979,55-59,Male,2,"18,9",0,76499,188.92773,181.79298
981,30-34,Female,38,"1,6,10,7,11,8,1,13,1,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,1,9",1,179439,319.25156,250.67143
988,30-34,Female,20,"2,1,2,1,4,2,4,2,4,1,9",0,99218,203.50394,168.27172
995,50-54,Female,22,"4,1,5,3,1,4,1,5,3,1,2,4,2,1,5,3,1,2,1,9",0,53921,307.16612,260.4315
1000,50-54,Female,43,"2,12,1,12,14,1,6,10,1,12,1,6,1,6,26,20,1,2,12,1,3,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,9",0,416889,251.94343,232.32733
1007,50-54,Male,54,"1,6,10,7,11,8,14,1,13,1,2,4,1,5,3,1,2,1,4,1,5,3,1,2,4,2,1,5,3,1,2,4,2,1,5,3,1,2,4,1,5,3,1,2,9",1,238134,347.72971,318.8496
1019,55-59,Male,42,"6,10,7,11,8,14,1,13,2,4,2,1,5,3,2,4,1,5,3,2,4,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,9",0,132235,283.90597,274.99801
1020,45-49,Male,71,"1,6,10,7,11,8,14,1,13,2,12,1,3,2,12,1,3,2,12,1,3,2,12,1,3,2,12,1,3,1,6,20,6,1,15,16,1,15,16,6,1,15,16,6,10,7,11,8,13,1,2,12,1,3,2,12,1,3,2,12,1,3,1,6,10,1,21,9",0,706587,331.42129,362.91329
1021,20-24,Female,65,"12,1,12,7,11,8,7,8,4,1,5,3,2,4,2,12,2,6,10,7,11,8,1,13,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,6,10,7,11,8,7,8,13,4,1,2,4,1,5,3,9",1,266801,273.95519,226.90386
1026,20-24,Male,44,"4,2,1,5,3,1,4,2,1,5,3,1,2,4,1,5,3,1,4,1,5,3,1,2,4,1,5,3,1,2,9,7,8",0,152174,229.16103,218.35834
1028,55-59,Male,33,"12,14,6,10,7,11,8,14,1,13,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,9",1,130646,341.28393,330.57531
1037,20-24,Male,66,"1,2,1,6,10,1,7,11,8,7,8,13,1,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,9",1,138247,293.98597,317.41383
1039,60-65,Male,0,9,0,55591,199.34718,209.95208
1042,30-34,Male,74,"2,12,14,2,12,6,10,7,11,8,7,8,1,13,6,10,7,8,7,11,8,13,2,4,2,4,2,1,2,4,2,1,2,4,2,1,2,4,1,5,3,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,1,6,9",1,302933,280.27971,300.03583
1044,50-54,Female,26,"6,10,1,7,11,8,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,9",1,113145,355.4749,343.81752
1050,25-29,Male,33,"6,10,7,11,8,14,1,13,4,1,5,3,2,4,1,5,3,1,2,1,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,9",1,123090,275.86427,264.48063
1052,20-24,Female,4,"2,1,9",0,40697,230.74857,179.89821
1055,45-49,Female,48,"1,2,12,1,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,6,10,7,11,8,14,1,13,1,2,4,2,1,5,3,2,4,1,5,3,2,4,2,1,5,3,9",1,240496,278.75578,258.79267
1059,20-24,Female,41,"2,4,2,1,6,10,7,8,7,11,8,14,1,13,2,4,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,4,2,4,1,5,3,9",1,102509,238.07278,246.5372
1061,55-59,Female,0,9,0,30835,241.32307,201.68804
1062,35-39,Female,69,"2,1,6,10,7,11,8,14,15,1,16,1,13,2,4,2,1,5,3,2,6,10,7,11,8,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,2,4,1,5,3,1,2,4,2,1,5,3,2,1,2,9",1,241714,290.49395,288.91828
1064,55-59,Male,24,"2,4,2,1,5,3,4,2,1,5,3,4,2,1,15,16,4,1,5,3,4,1,5,3,4,1,5,3,9",0,102382,274.52217,254.63022
1069,45-49,Female,23,"2,1,12,1,6,4,1,5,3,4,1,2,9",0,162603,238.66725,206.1307
1070,20-24,Male,59,"1,12,2,1,2,12,6,10,7,11,8,14,1,13,3,2,4,1,5,3,2,1,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,1,2,1,2,9",1,113195,300.68456,283.09932
1072,40-44,Male,32,"6,10,7,11,8,14,1,13,4,1,2,4,2,1,4,1,5,3,2,4,1,5,3,2,4,1,5,3,9",1,224203,234.9956,240.42533
1074,40-44,Female,32,"1,6,10,7,11,8,14,1,13,1,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,1,2,9",1,159645,349.46141,349.49917
1079,45-49,Female,5,"4,2,1,5,3,1,9",0,14211,235.21409,263.59073
1082,20-24,Male,12,"1,18,12,19,6,20,9",0,245810,283.60034,261.38031
1085,50-54,Female,113,"1,6,10,1,14,1,6,10,1,7,11,8,13,2,1,2,6,10,1,3,2,1,6,1,2,6,10,1,3,1,2,6,10,1,3,1,6,10,1,21,1,6,10,7,11,8,13,2,6,10,1,3,1,2,6,10,1,3,2,6,10,1,3,2,6,10,1,3,2,6,10,1,3,1,2,1,2,1,9",0,304555,286.94683,300.76884
1089,30-34,Male,31,"6,10,1,7,11,8,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,9",1,140324,299.08311,298.94435
1090,40-44,Male,42,"1,6,10,7,11,8,14,1,13,1,2,4,2,1,5,3,1,2,4,2,1,5,3,1,2,4,1,5,3,1,2,1,2,4,1,5,3,1,2,9",1,362095,310.38346,274.57829
1091,25-29,Male,50,"1,2,4,2,1,2,12,14,6,10,7,11,28,24,23,17,8,14,1,13,2,12,1,3,2,6,10,7,11,8,1,13,2,12,1,3,2,12,1,3,2,12,1,3,2,12,1,3,9",1,183882,321.49827,290.06295
1096,16-19,Female,42,"1,6,10,6,10,7,11,8,14,1,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,1,6,1,9",1,146010,321.9309,272.0971
1100,60-65,Male,38,"2,4,2,1,5,3,1,4,2,4,2,1,5,3,1,2,1,2,4,2,1,4,2,1,5,3,1,2,1,2,4,1,5,3,1,2,4,1,5,3,9",0,197188,222.23002,230.1569
1108,25-29,Male,46,"6,10,7,11,8,1,13,2,4,1,5,3,1,2,4,2,1,2,4,2,1,5,3,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,1,6,1,9",0,137500,339.91694,303.85269
1110,25-29,Male,38,"1,6,1,6,10,1,7,11,8,13,2,4,1,5,3,2,4,1,5,3,2,4,1,5,3,2,4,2,1,5,3,2,4,1,5,3,9",1,90532,320.17159,287.92697
1117,35-39,Female,17,"2,15,1,16,2,9,22,12,9",0,125529,240.30708,208.94339
1120,50-54,Male,42,"2,1,2,6,1,6,10,1,7,11,8,13,2,12,1,3,2,1,2,12,1,3,2,12,1,3,2,12,1,3,2,12,1,3,9",1,251289,314.32,356.80646
1121,40-44,Male,33,"12,14,6,10,1,7,11,8,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,1,2,9",1,114475,350.81846,300.48105
1130,20-24,Male,29,"6,10,1,7,11,8,13,6,10,7,11,8,13,2,4,2,1,5,3,2,4,1,5,3,1,6,2,4,1,5,3,9",0,113266,337.62504,351.78455
1136,16-19,Female,41,"2,12,6,12,2,4,1,5,3,1,2,4,1,5,3,1,2,4,1,5,3,1,2,4,2,1,5,3,2,4,1,5,3,9",0,107119,257.54254,230.70568
1143,50-54,Female,35,"6,10,7,11,8,14,1,13,2,4,2,1,5,3,2,4,2,1,5,3,2,4,2,1,2,4,2,1,9",0,105426,269.17841,252.53699
1145,55-59,Female,5,"1,9",0,53620,271.25455,211.40503
1147,55-59,Male,0,9,0,29439,249.38841,199.31792
1150,60-65,Female,40,"2,1,2,1,18,2,4,2,1,5,3,1,2,4,2,1,5,3,1,2,4,1,5,3,2,1,15,1,16,2,6,27,20,12,9",0,388374,336.40255,292.53345
1153,40-44,Male,29,"12,19,6,10,7,11,8,14,1,13,2,12,1,3,2,12,1,3,1,2,12,1,3,9",1,199052,361.88724,342.1985
1154,25-29,Male,100,"1,17,15,1,17,1,17,1,17,1,17,1,17,4,12,1,4,2,12,1,4,2,12,1,3,4,12,3,4,2,12,1,3,4,12,3,4,12,3,4,12,3,4,2,12,3,12,4,12,3,4,12,3,4,12,3,4,2,12,3,4,12,3,4,12,3,4,1,12,4,12,3,4,12,3,4,12,3,12,4,12,3,4,12,3,4,12,7,11,8,7,8,9,7,8",0,430698,141.69469,153.89136
1155,25-29,Female,44,"6,10,7,11,28,30,23,17,28,30,23,17,28,30,23,17,28,30,23,17,8,14,1,13,2,4,2,1,5,3,2,4,1,5,3,2,4,2,1,5,3,2,4,1,2,4,2,1,5,3,2,4,1,5,3,9",1,91043,294.47968,286.55838
1170,50-54,Male,58,"1,2,1,2,1,20,18,1,18,1,4,2,1,18,12,17,7,8,1,18,6,10,1,2,12,1,3,2,12,3,2,12,3,9",0,595121,219.83577,210.46328
1173,45-49,Female,33,"12,6,10,7,11,8,1,13,2,4,2,1,5,3,2,4,1,5,3,2,4,2,1,5,3,2,4,2,1,5,3,2,4,1,5,3,9",1,120886,296.58388,299.08886
1174,55-59,Male,38,"2,1,2,1,2,1,12,7,8,6,7,8,10,7,8,14,9",0,269804,230.04764,221.79152
1175,30-34,Male,35,"1,6,10,7,8,14,6,2,6,10,7,8,7,11,8,14,1,13,2,12,1,3,2,12,1,3,2,12,1,3,9",1,154619,298.40535,316.68368
1178,45-49,Female,0,9,0,20911,243.97249,222.7378
